Filename:	d:\clemens 2016\lme_0_11.drdd 
Operator ID:	 
Sample ID:	LME_0_11 
Comment: 	Isothermal 180C 4h 
Serial Number:	587P2203 
Data Collected:	10-10-2016 15:01:07 
Sample Weight:	14.400 mg 
Display Weight:	14.400 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files\PerkinElmer\Pyris\Calibrations\default.drdc 
Date/Time:	 
Initial Conditions 
Temperature:	 30.00 °C 
Y Initial:	20.00 mW 
Sample Rate:	Standard 
Baseline Filename:	D:\foostrum\FiberCore baseline.drdd 
End Condition:	Go To Load 
Total Points in Run:	14490 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Heat from 30.00°C to 180.00°C at 100.00°C/min 
 
2)	Hold for 240.0 min at 180.00°C 
 
1) Sapphire DSC Temperature Scan 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	Heat Flow      
	          	Heat Flow     	Heat Flow     	Temperature	Temperature	Gas Flow     	Calibration 
	0.000000	-1.601652	0.000000	31.666667	35.596279	0.000000	1.480999 
	0.016667	-1.541978	0.000000	31.666667	35.608078	0.000000	1.480999 
	0.033333	-1.481104	0.000000	33.333333	35.618061	0.000000	1.480999 
	0.050000	-1.429834	0.000000	35.000000	35.627441	0.000000	1.480999 
	0.066667	-1.375740	0.000000	36.666667	35.637123	0.000000	1.480999 
	0.083333	-1.325812	0.000000	38.333333	35.647110	0.000000	1.480999 
	0.100000	-1.259712	0.000000	40.000000	35.658604	0.000000	1.480999 
	0.116667	-1.177793	0.000000	41.666667	35.676758	0.000000	1.480999 
	0.133333	-1.054138	0.000000	43.333333	35.704895	0.000000	1.480999 
	0.150000	-0.906826	0.000000	45.000000	35.747253	0.000000	1.480999 
	0.166667	-0.725334	0.000000	46.666667	35.810791	0.000000	1.480999 
	0.183333	-0.492360	0.000000	48.333333	35.898834	0.000000	1.480999 
	0.200000	-0.254442	0.000000	50.000000	36.018948	0.000000	1.480999 
	0.216667	0.028036	0.000000	51.666667	36.171738	0.000000	1.480999 
	0.233333	0.295755	0.000000	53.333333	36.366280	0.000000	1.480999 
	0.250000	0.591227	0.000000	55.000000	36.599247	0.000000	1.480999 
	0.266667	0.857675	0.000000	56.666667	36.886673	0.000000	1.480999 
	0.283333	1.110351	0.000000	58.333333	37.218273	0.000000	1.480999 
	0.300000	1.327507	0.000000	60.000000	37.600399	0.000000	1.480999 
	0.316667	1.547204	0.000000	61.666667	38.027607	0.000000	1.480999 
	0.333333	1.717750	0.000000	63.333333	38.504128	0.000000	1.480999 
	0.350000	1.853693	0.000000	65.000000	39.026642	0.000000	1.480999 
	0.366667	1.957927	0.000000	66.666667	39.593929	0.000000	1.480999 
	0.383333	2.008561	0.000000	68.333333	40.218403	0.000000	1.480999 
	0.400000	2.013081	0.000000	70.000000	40.886745	0.000000	1.480999 
	0.416667	1.970215	0.000000	71.666667	41.614086	0.000000	1.480999 
	0.433333	1.868664	0.000000	73.333333	42.382877	0.000000	1.480999 
	0.450000	1.727284	0.000000	75.000000	43.209454	0.000000	1.480999 
	0.466667	1.515072	0.000000	76.666667	44.075970	0.000000	1.480999 
	0.483333	1.272423	0.000000	78.333333	44.995434	0.000000	1.480999 
	0.500000	0.952658	0.000000	80.000000	45.952137	0.000000	1.480999 
	0.516667	0.614249	0.000000	81.666667	46.949326	0.000000	1.480999 
	0.533333	0.231985	0.000000	83.333333	47.993958	0.000000	1.480999 
	0.550000	-0.213907	0.000000	85.000000	49.068314	0.000000	1.480999 
	0.566667	-0.669332	0.000000	86.666667	50.187263	0.000000	1.480999 
	0.583333	-1.224755	0.000000	88.333333	51.332405	0.000000	1.480999 
	0.600000	-1.768879	0.000000	90.000000	52.526333	0.000000	1.480999 
	0.616667	-2.403960	0.000000	91.666667	53.742546	0.000000	1.480999 
	0.633333	-3.012842	0.000000	93.333333	55.007038	0.000000	1.480999 
	0.650000	-3.717060	0.000000	95.000000	56.296040	0.000000	1.480999 
	0.666667	-4.383497	0.000000	96.666667	57.623890	0.000000	1.480999 
	0.683333	-5.070414	0.000000	98.333333	58.978043	0.000000	1.480999 
	0.700000	-5.850548	0.000000	100.000000	60.353115	0.000000	1.480999 
	0.716667	-6.576164	0.000000	101.666667	61.763168	0.000000	1.480999 
	0.733333	-7.390902	0.000000	103.333333	63.182976	0.000000	1.480999 
	0.750000	-8.142576	0.000000	105.000000	64.639091	0.000000	1.480999 
	0.766667	-8.976876	0.000000	106.666667	66.094589	0.000000	1.480999 
	0.783333	-9.740485	0.000000	108.333333	67.586044	0.000000	1.480999 
	0.800000	-10.581846	0.000000	110.000000	69.079239	0.000000	1.480999 
	0.816667	-11.350470	0.000000	111.666667	70.602699	0.000000	1.480999 
	0.833333	-12.190843	0.000000	113.333333	72.130035	0.000000	1.480999 
	0.850000	-12.952616	0.000000	115.000000	73.674332	0.000000	1.480999 
	0.866667	-13.707398	0.000000	116.666667	75.232002	0.000000	1.480999 
	0.883333	-14.531246	0.000000	118.333333	76.789383	0.000000	1.480999 
	0.900000	-15.270490	0.000000	120.000000	78.373199	0.000000	1.480999 
	0.916667	-16.070610	0.000000	121.666667	79.950020	0.000000	1.480999 
	0.933333	-16.779137	0.000000	123.333333	81.547928	0.000000	1.480999 
	0.950000	-17.546983	0.000000	125.000000	83.138718	0.000000	1.480999 
	0.966667	-18.230580	0.000000	126.666667	84.756607	0.000000	1.480999 
	0.983333	-18.965306	0.000000	128.333333	86.361702	0.000000	1.480999 
	1.000000	-19.614865	0.000000	130.000000	87.983719	0.000000	1.480999 
	1.016667	-20.247969	0.000000	131.666667	89.601875	0.000000	1.480999 
	1.033333	-20.920479	0.000000	133.333333	91.222115	0.000000	1.480999 
	1.050000	-21.510152	0.000000	135.000000	92.850365	0.000000	1.480999 
	1.066667	-22.133158	0.000000	136.666667	94.471497	0.000000	1.480999 
	1.083333	-22.677635	0.000000	138.333333	96.106583	0.000000	1.480999 
	1.100000	-23.256927	0.000000	140.000000	97.727715	0.000000	1.480999 
	1.116667	-23.765105	0.000000	141.666667	99.369637	0.000000	1.480999 
	1.133333	-24.305417	0.000000	143.333333	100.999985	0.000000	1.480999 
	1.150000	-24.779626	0.000000	145.000000	102.644714	0.000000	1.480999 
	1.166667	-25.287664	0.000000	146.666667	104.273544	0.000000	1.480999 
	1.183333	-25.737367	0.000000	148.333333	105.908028	0.000000	1.480999 
	1.200000	-26.175705	0.000000	150.000000	107.545113	0.000000	1.480999 
	1.216667	-26.643065	0.000000	151.666667	109.178101	0.000000	1.480999 
	1.233333	-27.054988	0.000000	153.333333	110.820656	0.000000	1.480999 
	1.250000	-27.497631	0.000000	155.000000	112.446175	0.000000	1.480999 
	1.266667	-27.889641	0.000000	156.666667	114.086342	0.000000	1.480999 
	1.283333	-28.309756	0.000000	158.333333	115.706482	0.000000	1.480999 
	1.300000	-28.682980	0.000000	160.000000	117.340370	0.000000	1.480999 
	1.316667	-29.083041	0.000000	161.666667	118.961472	0.000000	1.480999 
	1.333333	-29.434937	0.000000	163.333333	120.594627	0.000000	1.480999 
	1.350000	-29.773276	0.000000	165.000000	122.218452	0.000000	1.480999 
	1.366667	-30.125034	0.000000	166.666667	123.841080	0.000000	1.480999 
	1.383333	-30.424953	0.000000	168.333333	125.465813	0.000000	1.480999 
	1.400000	-30.726640	0.000000	170.000000	127.086517	0.000000	1.480999 
	1.416667	-30.969854	0.000000	171.666667	128.726669	0.000000	1.480999 
	1.433333	-31.194989	0.000000	173.333333	130.345032	0.000000	1.480999 
	1.450000	-31.353248	0.000000	175.000000	131.976700	0.000000	1.480999 
	1.466667	-31.469770	0.000000	176.666667	133.592041	0.000000	1.480999 
	1.483333	-31.519629	0.000000	178.333333	135.224625	0.000000	1.480999 
2) Sapphire DSC Isothermal 
	1.500000	-31.510234	0.000000	180.000000	136.840271	0.000000	1.480999 
	1.516667	-31.442088	0.000000	180.000000	138.477585	0.000000	1.480999 
	1.533333	-31.320339	0.000000	180.000000	140.117691	0.000000	1.480999 
	1.550000	-31.139695	0.000000	180.000000	141.752319	0.000000	1.480999 
	1.566667	-30.947257	0.000000	180.000000	143.400345	0.000000	1.480999 
	1.583333	-30.727557	0.000000	180.000000	145.030212	0.000000	1.480999 
	1.600000	-30.533989	0.000000	180.000000	146.675522	0.000000	1.480999 
	1.616667	-30.338092	0.000000	180.000000	148.297073	0.000000	1.480999 
	1.633333	-30.189862	0.000000	180.000000	149.929245	0.000000	1.480999 
	1.650000	-30.068041	0.000000	180.000000	151.527084	0.000000	1.480999 
	1.666667	-29.998130	0.000000	180.000000	153.115433	0.000000	1.480999 
	1.683333	-29.963243	0.000000	180.000000	154.662735	0.000000	1.480999 
	1.700000	-29.958016	0.000000	180.000000	156.173584	0.000000	1.480999 
	1.716667	-29.972213	0.000000	180.000000	157.646744	0.000000	1.480999 
	1.733333	-29.993962	0.000000	180.000000	159.065079	0.000000	1.480999 
	1.750000	-30.010982	0.000000	180.000000	160.449722	0.000000	1.480999 
	1.766667	-30.016562	0.000000	180.000000	161.773849	0.000000	1.480999 
	1.783333	-29.996152	0.000000	180.000000	163.059769	0.000000	1.480999 
	1.800000	-29.934147	0.000000	180.000000	164.277267	0.000000	1.480999 
	1.816667	-29.837751	0.000000	180.000000	165.450073	0.000000	1.480999 
	1.833333	-29.681260	0.000000	180.000000	166.555679	0.000000	1.480999 
	1.850000	-29.485644	0.000000	180.000000	167.611969	0.000000	1.480999 
	1.866667	-29.232190	0.000000	180.000000	168.610321	0.000000	1.480999 
	1.883333	-28.884176	0.000000	180.000000	169.551956	0.000000	1.480999 
	1.900000	-28.503325	0.000000	180.000000	170.445496	0.000000	1.480999 
	1.916667	-28.014566	0.000000	180.000000	171.275253	0.000000	1.480999 
	1.933333	-27.506459	0.000000	180.000000	172.064621	0.000000	1.480999 
	1.950000	-26.882536	0.000000	180.000000	172.795731	0.000000	1.480999 
	1.966667	-26.258613	0.000000	180.000000	173.488007	0.000000	1.480999 
	1.983333	-25.514000	0.000000	180.000000	174.125732	0.000000	1.480999 
	2.000000	-24.787323	0.000000	180.000000	174.727692	0.000000	1.480999 
	2.016667	-24.019759	0.000000	180.000000	175.281265	0.000000	1.480999 
	2.033333	-23.132072	0.000000	180.000000	175.796326	0.000000	1.480999 
	2.050000	-22.292052	0.000000	180.000000	176.274078	0.000000	1.480999 
	2.066667	-21.336923	0.000000	180.000000	176.712982	0.000000	1.480999 
	2.083333	-20.443798	0.000000	180.000000	177.121078	0.000000	1.480999 
	2.100000	-19.440364	0.000000	180.000000	177.492493	0.000000	1.480999 
	2.116667	-18.516307	0.000000	180.000000	177.839249	0.000000	1.480999 
	2.133333	-17.490628	0.000000	180.000000	178.151794	0.000000	1.480999 
	2.150000	-16.553225	0.000000	180.000000	178.444290	0.000000	1.480999 
	2.166667	-15.521402	0.000000	180.000000	178.708450	0.000000	1.480999 
	2.183333	-14.588023	0.000000	180.000000	178.952560	0.000000	1.480999 
	2.200000	-13.661918	0.000000	180.000000	179.175110	0.000000	1.480999 
	2.216667	-12.653966	0.000000	180.000000	179.376678	0.000000	1.480999 
	2.233333	-11.752013	0.000000	180.000000	179.560699	0.000000	1.480999 
	2.250000	-10.776969	0.000000	180.000000	179.725281	0.000000	1.480999 
	2.266667	-9.909972	0.000000	180.000000	179.876312	0.000000	1.480999 
	2.283333	-8.977512	0.000000	180.000000	180.011627	0.000000	1.480999 
	2.300000	-8.152392	0.000000	180.000000	180.135544	0.000000	1.480999 
	2.316667	-7.271343	0.000000	180.000000	180.244034	0.000000	1.480999 
	2.333333	-6.495092	0.000000	180.000000	180.343979	0.000000	1.480999 
	2.350000	-5.671104	0.000000	180.000000	180.432358	0.000000	1.480999 
	2.366667	-4.947324	0.000000	180.000000	180.510513	0.000000	1.480999 
	2.383333	-4.249814	0.000000	180.000000	180.583084	0.000000	1.480999 
	2.400000	-3.512052	0.000000	180.000000	180.649445	0.000000	1.480999 
	2.416667	-2.870120	0.000000	180.000000	180.707748	0.000000	1.480999 
	2.433333	-2.193090	0.000000	180.000000	180.762024	0.000000	1.480999 
	2.450000	-1.605606	0.000000	180.000000	180.810089	0.000000	1.480999 
	2.466667	-0.989309	0.000000	180.000000	180.850403	0.000000	1.480999 
	2.483333	-0.455779	0.000000	180.000000	180.887619	0.000000	1.480999 
	2.500000	0.103881	0.000000	180.000000	180.922653	0.000000	1.480999 
	2.516667	0.586001	0.000000	180.000000	180.951508	0.000000	1.480999 
	2.533333	1.043616	0.000000	180.000000	180.976624	0.000000	1.480999 
	2.550000	1.520792	0.000000	180.000000	181.000809	0.000000	1.480999 
	2.566667	1.931162	0.000000	180.000000	181.021591	0.000000	1.480999 
	2.583333	2.358905	0.000000	180.000000	181.037399	0.000000	1.480999 
	2.600000	2.725915	0.000000	180.000000	181.053833	0.000000	1.480999 
	2.616667	3.105848	0.000000	180.000000	181.070587	0.000000	1.480999 
	2.633333	3.431404	0.000000	180.000000	181.083618	0.000000	1.480999 
	2.650000	3.768260	0.000000	180.000000	181.096954	0.000000	1.480999 
	2.666667	4.056458	0.000000	180.000000	181.111526	0.000000	1.480999 
	2.683333	4.355108	0.000000	180.000000	181.122375	0.000000	1.480999 
	2.700000	4.608844	0.000000	180.000000	181.133224	0.000000	1.480999 
	2.716667	4.848880	0.000000	180.000000	181.144394	0.000000	1.480999 
	2.733333	5.095978	0.000000	180.000000	181.153702	0.000000	1.480999 
	2.750000	5.307837	0.000000	180.000000	181.162384	0.000000	1.480999 
	2.766667	5.525274	0.000000	180.000000	181.171371	0.000000	1.480999 
	2.783333	5.710792	0.000000	180.000000	181.179443	0.000000	1.480999 
	2.800000	5.901889	0.000000	180.000000	181.187805	0.000000	1.480999 
	2.816667	6.064737	0.000000	180.000000	181.196182	0.000000	1.480999 
	2.833333	6.232953	0.000000	180.000000	181.202698	0.000000	1.480999 
	2.850000	6.376946	0.000000	180.000000	181.210449	0.000000	1.480999 
	2.866667	6.513383	0.000000	180.000000	181.218201	0.000000	1.480999 
	2.883333	6.653704	0.000000	180.000000	181.226578	0.000000	1.480999 
	2.900000	6.771286	0.000000	180.000000	181.234329	0.000000	1.480999 
	2.916667	6.895717	0.000000	180.000000	181.243637	0.000000	1.480999 
	2.933333	7.001364	0.000000	180.000000	181.252930	0.000000	1.480999 
	2.950000	7.111177	0.000000	180.000000	181.262238	0.000000	1.480999 
	2.966667	7.204254	0.000000	180.000000	181.270615	0.000000	1.480999 
	2.983333	7.301285	0.000000	180.000000	181.279297	0.000000	1.480999 
	3.000000	7.386241	0.000000	180.000000	181.289841	0.000000	1.480999 
	3.016667	7.473527	0.000000	180.000000	181.299454	0.000000	1.480999 
	3.033333	7.549231	0.000000	180.000000	181.309692	0.000000	1.480999 
	3.050000	7.620345	0.000000	180.000000	181.319916	0.000000	1.480999 
	3.066667	7.697179	0.000000	180.000000	181.329224	0.000000	1.480999 
	3.083333	7.762502	0.000000	180.000000	181.339767	0.000000	1.480999 
	3.100000	7.831568	0.000000	180.000000	181.349701	0.000000	1.480999 
	3.116667	7.891807	0.000000	180.000000	181.358383	0.000000	1.480999 
	3.133333	7.955858	0.000000	180.000000	181.367676	0.000000	1.480999 
	3.150000	8.011506	0.000000	180.000000	181.376678	0.000000	1.480999 
	3.166667	8.070545	0.000000	180.000000	181.385361	0.000000	1.480999 
	3.183333	8.123367	0.000000	180.000000	181.395279	0.000000	1.480999 
	3.200000	8.174285	0.000000	180.000000	181.405197	0.000000	1.480999 
	3.216667	8.229862	0.000000	180.000000	181.413574	0.000000	1.480999 
	3.233333	8.279084	0.000000	180.000000	181.423508	0.000000	1.480999 
	3.250000	8.332755	0.000000	180.000000	181.432800	0.000000	1.480999 
	3.266667	8.380070	0.000000	180.000000	181.440552	0.000000	1.480999 
	3.283333	8.432046	0.000000	180.000000	181.448624	0.000000	1.480999 
	3.300000	8.479290	0.000000	180.000000	181.459473	0.000000	1.480999 
	3.316667	8.530348	0.000000	180.000000	181.470337	0.000000	1.480999 
	3.333333	8.575263	0.000000	180.000000	181.480560	0.000000	1.480999 
	3.350000	8.624060	0.000000	180.000000	181.490494	0.000000	1.480999 
	3.366667	8.668692	0.000000	180.000000	181.501038	0.000000	1.480999 
	3.383333	8.712688	0.000000	180.000000	181.511581	0.000000	1.480999 
	3.400000	8.760638	0.000000	180.000000	181.520264	0.000000	1.480999 
	3.416667	8.804070	0.000000	180.000000	181.528015	0.000000	1.480999 
	3.433333	8.851879	0.000000	180.000000	181.537628	0.000000	1.480999 
	3.450000	8.894463	0.000000	180.000000	181.545685	0.000000	1.480999 
	3.466667	8.941495	0.000000	180.000000	181.553436	0.000000	1.480999 
	3.483333	8.983443	0.000000	180.000000	181.562439	0.000000	1.480999 
	3.500000	9.030617	0.000000	180.000000	181.572357	0.000000	1.480999 
	3.516667	9.072565	0.000000	180.000000	181.581345	0.000000	1.480999 
	3.533333	9.114513	0.000000	180.000000	181.591278	0.000000	1.480999 
	3.550000	9.160910	0.000000	180.000000	181.600586	0.000000	1.480999 
	3.566667	9.202647	0.000000	180.000000	181.610809	0.000000	1.480999 
	3.583333	9.247984	0.000000	180.000000	181.618881	0.000000	1.480999 
	3.600000	9.288803	0.000000	180.000000	181.626938	0.000000	1.480999 
	3.616667	9.335058	0.000000	180.000000	181.636856	0.000000	1.480999 
	3.633333	9.376229	0.000000	180.000000	181.645859	0.000000	1.480999 
	3.650000	9.421002	0.000000	180.000000	181.653305	0.000000	1.480999 
	3.666667	9.463374	0.000000	180.000000	181.660736	0.000000	1.480999 
	3.683333	9.509347	0.000000	180.000000	181.669418	0.000000	1.480999 
	3.700000	9.550377	0.000000	180.000000	181.675003	0.000000	1.480999 
	3.716667	9.591690	0.000000	180.000000	181.682755	0.000000	1.480999 
	3.733333	9.636533	0.000000	180.000000	181.690201	0.000000	1.480999 
	3.750000	9.678340	0.000000	180.000000	181.701370	0.000000	1.480999 
	3.766667	9.723183	0.000000	180.000000	181.710358	0.000000	1.480999 
	3.783333	9.763719	0.000000	180.000000	181.721222	0.000000	1.480999 
	3.800000	9.808563	0.000000	180.000000	181.729584	0.000000	1.480999 
	3.816667	9.848604	0.000000	180.000000	181.739822	0.000000	1.480999 
	3.833333	9.892599	0.000000	180.000000	181.747879	0.000000	1.480999 
	3.850000	9.932076	0.000000	180.000000	181.756561	0.000000	1.480999 
	3.866667	9.975860	0.000000	180.000000	181.764008	0.000000	1.480999 
	3.883333	10.015477	0.000000	180.000000	181.772079	0.000000	1.480999 
	3.900000	10.054601	0.000000	180.000000	181.778900	0.000000	1.480999 
	3.916667	10.096831	0.000000	180.000000	181.784790	0.000000	1.480999 
	3.933333	10.136237	0.000000	180.000000	181.791306	0.000000	1.480999 
	3.950000	10.180163	0.000000	180.000000	181.799057	0.000000	1.480999 
	3.966667	10.219003	0.000000	180.000000	181.807114	0.000000	1.480999 
	3.983333	10.261587	0.000000	180.000000	181.815186	0.000000	1.480999 
	4.000000	10.300569	0.000000	180.000000	181.822617	0.000000	1.480999 
	4.016667	10.343082	0.000000	180.000000	181.830994	0.000000	1.480999 
	4.033333	10.381216	0.000000	180.000000	181.838135	0.000000	1.480999 
	4.050000	10.419916	0.000000	180.000000	181.845261	0.000000	1.480999 
	4.066667	10.461581	0.000000	180.000000	181.852707	0.000000	1.480999 
	4.083333	10.499998	0.000000	180.000000	181.861694	0.000000	1.480999 
	4.100000	10.541240	0.000000	180.000000	181.868515	0.000000	1.480999 
	4.116667	10.578174	0.000000	180.000000	181.877197	0.000000	1.480999 
	4.133333	10.619416	0.000000	180.000000	181.884964	0.000000	1.480999 
	4.150000	10.656279	0.000000	180.000000	181.894257	0.000000	1.480999 
	4.166667	10.697027	0.000000	180.000000	181.901077	0.000000	1.480999 
	4.183333	10.734244	0.000000	180.000000	181.909454	0.000000	1.480999 
	4.200000	10.774002	0.000000	180.000000	181.917206	0.000000	1.480999 
	4.216667	10.808111	0.000000	180.000000	181.923721	0.000000	1.480999 
	4.233333	10.847447	0.000000	180.000000	181.929932	0.000000	1.480999 
	4.250000	10.881838	0.000000	180.000000	181.936752	0.000000	1.480999 
	4.266667	10.920962	0.000000	180.000000	181.945114	0.000000	1.480999 
	4.283333	10.960014	0.000000	180.000000	181.951019	0.000000	1.480999 
	4.300000	10.991157	0.000000	180.000000	181.958145	0.000000	1.480999 
	4.316667	11.029504	0.000000	180.000000	181.964966	0.000000	1.480999 
	4.333333	11.066862	0.000000	180.000000	181.973648	0.000000	1.480999 
	4.350000	11.103796	0.000000	180.000000	181.979233	0.000000	1.480999 
	4.366667	11.137763	0.000000	180.000000	181.986359	0.000000	1.480999 
	4.383333	11.173850	0.000000	180.000000	181.993500	0.000000	1.480999 
	4.400000	11.206829	0.000000	180.000000	182.000015	0.000000	1.480999 
	4.416667	11.239455	0.000000	180.000000	182.006210	0.000000	1.480999 
	4.433333	11.274624	0.000000	180.000000	182.013351	0.000000	1.480999 
	4.450000	11.304779	0.000000	180.000000	182.018005	0.000000	1.480999 
	4.466667	11.339947	0.000000	180.000000	182.023895	0.000000	1.480999 
	4.483333	11.370384	0.000000	180.000000	182.030090	0.000000	1.480999 
	4.500000	11.401245	0.000000	180.000000	182.036606	0.000000	1.480999 
	4.516667	11.435566	0.000000	180.000000	182.043427	0.000000	1.480999 
	4.533333	11.466286	0.000000	180.000000	182.049942	0.000000	1.480999 
	4.550000	11.499547	0.000000	180.000000	182.057999	0.000000	1.480999 
	4.566667	11.529491	0.000000	180.000000	182.064514	0.000000	1.480999 
	4.583333	11.558515	0.000000	180.000000	182.068863	0.000000	1.480999 
	4.600000	11.587540	0.000000	180.000000	182.074753	0.000000	1.480999 
	4.616667	11.618683	0.000000	180.000000	182.081268	0.000000	1.480999 
	4.633333	11.650674	0.000000	180.000000	182.088394	0.000000	1.480999 
	4.650000	11.678992	0.000000	180.000000	182.093979	0.000000	1.480999 
	4.666667	11.710065	0.000000	180.000000	182.100800	0.000000	1.480999 
	4.683333	11.740360	0.000000	180.000000	182.106995	0.000000	1.480999 
	4.700000	11.764018	0.000000	180.000000	182.111649	0.000000	1.480999 
	4.716667	11.792831	0.000000	180.000000	182.114761	0.000000	1.480999 
