Filename:	D:\Clemens 2016\LME_0_12b.drdd 
Operator ID:	 
Sample ID:	LME_0_12b 
Comment: 	Isothermal 150C /480min 
Serial Number:	587P2203 
Data Collected:	25-10-2016 22:07:22 
Sample Weight:	10.400 mg 
Display Weight:	10.400 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files\PerkinElmer\Pyris\Calibrations\default.drdc 
Date/Time:	 
Initial Conditions 
Temperature:	 100.00 °C 
Y Initial:	20.00 mW 
Sample Rate:	Standard 
Baseline Filename:	D:\foostrum\FiberCore baseline.drdd 
End Condition:	Go To Load 
Total Points in Run:	28830 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Heat from 100.00°C to 150.00°C at 100.00°C/min 
 
2)	Hold for 480.0 min at 150.00°C 
 
1) Sapphire DSC Temperature Scan 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	Heat Flow      
	          	Heat Flow     	Heat Flow     	Temperature	Temperature	Gas Flow     	Calibration 
	0.000000	-5.623859	0.000000	101.666667	153.025070	0.000000	1.480999 
	0.016667	-5.236370	0.000000	101.666667	153.051102	0.000000	1.480999 
	0.033333	-4.819432	0.000000	103.333333	153.067032	0.000000	1.480999 
	0.050000	-4.411462	0.000000	105.000000	153.072235	0.000000	1.480999 
	0.066667	-4.051020	0.000000	106.666667	153.068268	0.000000	1.480999 
	0.083333	-3.671158	0.000000	108.333333	153.051712	0.000000	1.480999 
	0.100000	-3.309091	0.000000	110.000000	153.030273	0.000000	1.480999 
	0.116667	-3.028590	0.000000	111.666667	153.003311	0.000000	1.480999 
	0.133333	-2.675493	0.000000	113.333333	152.963501	0.000000	1.480999 
	0.150000	-2.426559	0.000000	115.000000	152.923981	0.000000	1.480999 
	0.166667	-2.114985	0.000000	116.666667	152.865768	0.000000	1.480999 
	0.183333	-1.894511	0.000000	118.333333	152.810013	0.000000	1.480999 
	0.200000	-1.661890	0.000000	120.000000	152.743240	0.000000	1.480999 
	0.216667	-1.398903	0.000000	121.666667	152.659607	0.000000	1.480999 
	0.233333	-1.211761	0.000000	123.333333	152.582718	0.000000	1.480999 
	0.250000	-0.994818	0.000000	125.000000	152.492661	0.000000	1.480999 
	0.266667	-0.788679	0.000000	126.666667	152.386047	0.000000	1.480999 
	0.283333	-0.592216	0.000000	128.333333	152.282516	0.000000	1.480999 
	0.300000	-0.438194	0.000000	130.000000	152.183868	0.000000	1.480999 
	0.316667	-0.259103	0.000000	131.666667	152.070831	0.000000	1.480999 
	0.333333	-0.102963	0.000000	133.333333	151.951355	0.000000	1.480999 
	0.350000	0.045832	0.000000	135.000000	151.824234	0.000000	1.480999 
	0.366667	0.216378	0.000000	136.666667	151.682098	0.000000	1.480999 
	0.383333	0.351827	0.000000	138.333333	151.547607	0.000000	1.480999 
	0.400000	0.493913	0.000000	140.000000	151.409454	0.000000	1.480999 
	0.416667	0.604998	0.000000	141.666667	151.279266	0.000000	1.480999 
	0.433333	0.747861	0.000000	143.333333	151.121185	0.000000	1.480999 
	0.450000	0.849341	0.000000	145.000000	150.987930	0.000000	1.480999 
	0.466667	0.967488	0.000000	146.666667	150.838135	0.000000	1.480999 
	0.483333	1.072499	0.000000	148.333333	150.682526	0.000000	1.480999 
2) Sapphire DSC Isothermal 
	0.500000	1.205264	0.000000	150.000000	150.511276	0.000000	1.480999 
	0.516667	1.317337	0.000000	150.000000	150.373428	0.000000	1.480999 
	0.533333	1.463661	0.000000	150.000000	150.221176	0.000000	1.480999 
	0.550000	1.656664	0.000000	150.000000	150.077515	0.000000	1.480999 
	0.566667	1.863650	0.000000	150.000000	149.952530	0.000000	1.480999 
	0.583333	2.146128	0.000000	150.000000	149.837952	0.000000	1.480999 
	0.600000	2.365967	0.000000	150.000000	149.763519	0.000000	1.480999 
	0.616667	2.625000	0.000000	150.000000	149.709290	0.000000	1.480999 
	0.633333	2.836364	0.000000	150.000000	149.677429	0.000000	1.480999 
	0.650000	3.027107	0.000000	150.000000	149.666412	0.000000	1.480999 
	0.666667	3.158177	0.000000	150.000000	149.677124	0.000000	1.480999 
	0.683333	3.260999	0.000000	150.000000	149.707153	0.000000	1.480999 
	0.700000	3.301817	0.000000	150.000000	149.744522	0.000000	1.480999 
	0.716667	3.307397	0.000000	150.000000	149.795380	0.000000	1.480999 
	0.733333	3.275335	0.000000	150.000000	149.853882	0.000000	1.480999 
	0.750000	3.217356	0.000000	150.000000	149.921585	0.000000	1.480999 
	0.766667	3.126399	0.000000	150.000000	149.995407	0.000000	1.480999 
	0.783333	3.021952	0.000000	150.000000	150.075974	0.000000	1.480999 
	0.800000	2.889329	0.000000	150.000000	150.161743	0.000000	1.480999 
